"","Group1","Group2","Group1Participant","Group2Participant","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE"
"154",2,12,1,2,2,3.86742231704046,98.3376516764578,8639,202,13.3116101400625,3.03309515335861,0.615575196076358,99.435622482748,19.579558848291,4.30601009211544,75.8101687199476,33986,26,3.13599717530748,1.43644269765622,0.458123217181747,86.5244544342334,3.45488369450993
"155",2,12,2,1,2,5.89229369564161,98.6417542697745,15718,129,11.1815116427026,2.8542498549737,0.59413766684117,98.8679414719567,11.0427532597793,4.50604531497661,78.6077936908217,38698,29,2.988449015453,1.34435554563349,0.441565326954445,94.900726622666,4.05580409016965
"158",2,14,1,2,2,3.73786052166569,97.1330519296254,11600,142,9.4426724137931,2.66710963215059,0.551479356138648,98.4880462542565,13.0416862376703,4.67952147620043,77.0256087321578,37787,38,3.10752375155477,1.4054120502283,0.431359855003484,89.0900503778337,3.42399031916503
"159",2,14,2,1,2,12.1077405944421,99.0755037231713,21450,319,16.8719347319347,3.10872366409472,0.569406533891802,99.2791830924223,17.0200872952551,4.33760036393004,76.8988528685363,35615,24,3.05110206373719,1.38287245285837,0.461614165279796,92.1774267739493,3.67993558594191
"162",2,18,1,2,2,0.853593312556125,94.9410172113711,3749,126,6.54761269671913,2.40254927699351,0.596854501563995,96.8323341713402,7.57518910741301,3.33976293248432,78.0763596410914,24650,30,3.45943204868154,1.5950191761812,0.47367955080668,88.0067753158762,4.39430373959952
"163",2,18,2,1,2,29.5311261951297,99.6298432842996,26969,352,33.0444213726872,3.79276913412136,0.661902807590052,99.7476763191375,35.508775420862,3.81803826691928,71.7581951129656,29232,25,3.06506568144499,1.3927616266455,0.464915252588043,84.8351366719792,3.89605708400765
"166",2,20,1,2,2,4.7318822807084,97.9413360791462,12061,138,11.6719177514302,2.95192943651305,0.618764321869983,99.4183700446658,21.4336283185841,4.58884185559019,84.0296652689079,37252,34,3.39436808761946,1.58881117563696,0.487650122424483,93.4063889313459,4.39446615601063
"167",2,20,2,1,2,11.2938488559093,99.2485235732733,18379,381,18.5254910495674,3.18479517208819,0.603981687598636,99.4336234689178,18.5903863970789,4.54883254854712,81.9852916529795,39223,32,3.11794100400275,1.43882151185652,0.446995034956168,96.9262638519244,5.15848437277009
"170",2,23,1,2,2,3.14407981736104,98.1676740170032,10098,135,11.709348385819,2.96252447649651,0.624355501059279,99.2627523910733,17.5385066744902,2.04143991446323,67.1138696586297,18386,24,3.05819645382356,1.39206932628214,0.457237335167443,75.4655048937694,3.36500079833945
"171",2,23,2,1,2,7.90984785481184,99.5970589594155,10899,193,27.6907055693183,3.99986639178341,0.802604759043419,99.7518332002297,29.532975085491,2.79729412962973,53.1393728222996,22313,28,2.7340115627661,1.16277929783199,0.410410073872968,62.6489547038328,2.88665462572747
"174",2,27,1,2,2,1.36399657855132,95.4702636419375,5571,108,6.98761443187938,2.39021144621235,0.532502802483638,97.1428571428571,8.25552313463943,6.73298969231794,89.5151275423378,52574,42,3.7018678434207,1.73081947005037,0.475815388021093,98.4251533911636,6.99807057130711
